round,pick,team,player
1,1,Antonio,Ashton Jeanty
1,2,Antonio,Omarion Hampton
1,3,Derrick,Tetairoa McMillan
1,4,Marquel,TreVeyon Henderson
1,5,Antonio,RJ Harvey
1,6,Antonio,Quinshon Judkins
1,7,Antonio,Travis Hunter
1,8,Tommy,Emeka Egbuka
1,9,Antonio,Colston Loveland
1,10,Tommy,Tyler Warren
2,1,Deejay,Kaleb Johnson
2,2,Marquel,Matthew Golden
2,3,BMoney,Jayden Higgins
2,4,Tyus,Elijah Arroyo
2,5,Travian,Kyle Williams
2,6,Ant,Luther Burden
2,7,Travian,Bhayshul Tuten
2,8,Derrick,Cam Skattebo
2,9,Deejay,Keon Coleman
2,10,Antonio,Dylan Sampson
3,1,Antonio,Tre Harris
3,2,BMoney,Rashid Shaheed
3,3,Derrick,Patriots D/ST
3,4,BMoney,Jerome Ford
3,5,BMoney,Jalen McMillan
3,6,BMoney,Shedeur Sanders
3,7,Dae,Marvin Mims
3,8,Tommy,Tucker Kraft
3,10,Travian,Isaiah Bond
4,1,Derrick,Cam Ward
4,3,Derrick,Romeo Doubs
4,9,Deejay,Justin Fields
4,10,Travian,Cardinals D/ST
