round,pick,team,player
1,1,BMoney,Jeremiyah Love
1,2,Antonio,Carnell Tate
1,3,Travian,Jadarian Price
1,4,Travian,Makai Lemon
1,5,Antonio,Jordyn Tyson
1,6,Derrick,KC Concepcion
1,7,Travian,Ja'Kobi Lane
1,8,BMoney,Kenyon Sadiq
1,9,Ant,Omar Cooper Jr.
1,10,Travian,De'Zhaun Stribling
2,1,Dae,Germie Bernard
2,2,Dae,Bryce Lance
2,3,Tyus,Zachariah Branch
2,4,Tommy,Jonah Coleman
2,5,Antonio,Denzel Boston
2,6,Derrick,Mike Washington Jr.
2,7,Deejay,Eli Stowers
2,8,Deejay,Trey Smack
2,10,Antonio,Chris Bell
3,1,Marquel,Cyrus Allen
3,2,Dae,Barion Brown
3,4,Marquel,Antonio Williams
3,5,Marquel,Nicholas Singleton
3,6,Derrick,Brenton Strange
3,7,BMoney,Fernando Mendoza
